TransactionID,AccountID,TransactionType,Amount,TransactionDate,Description,RelatedAccountID
aff4b87d-6ffd-44f2-886f-4fa279899715,1892231987,Withdrawal,2683.1,2023-09-07 03:41:09,Somebody subject until.,
a9c75de4-6919-4ff2-b735-a8032f59c3ce,5615041035,Deposit,3426.66,2024-08-24 22:07:34,Loss dinner answer.,
3ded0f8f-02f2-4afa-920a-30a5a92d19bc,1836433558,Transfer,417.51,2022-01-02 18:58:46,Five father however.,3596500568.0
e723d17f-cdb1-4f04-8887-24778000b52b,848177764,Transfer,2526.16,2026-08-25 15:06:27,Who condition as.,7009390577.0
0ac03112-fc2a-4dd4-b10f-df16bf52e2b0,1443318324,Transfer,3181.52,2022-12-10 04:42:25,Focus when hit industry maintain.,9185820007.0
302d3bb3-aa50-4c2a-b7cb-abb3cd5b5475,8921386154,Deposit,28.1,2024-02-09 10:24:57,Site line.,
9ed1faa6-92a9-4205-80c3-7b3aee94dc62,7579320285,Transfer,1569.87,2024-07-28 21:37:54,Reason return.,251677491.0
f8b7aa63-ed79-4a10-a419-68e59c5fbcb6,1982155000,Deposit,3254.28,2023-05-23 08:28:15,Suddenly statement through however.,
04e99dce-7722-471a-9172-40366b5bf291,9248036083,Withdrawal,4337.42,2022-08-31 15:46:02,Off brother sell democratic style.,
29b9aa24-f833-40a2-baa5-45e9676a71aa,2021137559,Deposit,2620.89,2022-03-03 15:42:05,Lot huge attention without.,
089ea0a1-9857-4080-a036-eb27b9e97d0d,6704401333,Deposit,3874.04,2026-02-18 13:07:45,Money get serve.,
b3f65ceb-f954-40bd-9720-1f7ddc5da375,6743354473,Payment,1577.99,2026-10-19 20:48:50,Health agency area either.,
6d2af6e3-5829-4e56-92dd-edc04630cd47,8175757940,Withdrawal,3499.88,2024-02-10 13:49:58,Quite among traditional risk.,
5f7a51ba-7f33-4ead-a808-9c29e55ed31a,5957969875,Withdrawal,4765.1,2022-12-23 15:35:06,Choice this that against.,
8a69c05b-51be-4b83-b374-d88e1d15c404,5608599560,Withdrawal,1720.7,2025-03-17 08:48:38,Condition TV deep red fly.,
be896831-1e16-499f-877c-250575a0b9a7,3833396332,Deposit,1333.11,2026-04-14 18:36:30,Politics remember reflect.,
aa401f26-f152-48f4-b774-a2d607642462,8570196000,Deposit,4788.28,2023-11-25 19:25:34,Continue public describe through.,
9b9b4845-faf9-4d15-84f8-4800477beea0,3616513269,Withdrawal,4016.67,2024-07-03 02:27:34,Store cell possible.,
eaa49083-7b4b-41ad-ac68-42b4e4238fa3,9698763101,Transfer,1146.96,2026-02-20 04:18:21,Inside live under very.,1210500728.0
533f6ab8-8b98-4e26-9d88-04736351d9ce,7499049822,Deposit,724.31,2024-11-21 20:32:39,Store everyone whose.,
